"begdate","enddate","pressconf","scheduled","document","url"
1958-07-18,1958-07-18,0,0,"Record of Policy Actions (281 KB PDF)","/monetarypolicy/files/fomcropa19580718.pdf"
1958-07-21,1958-07-21,0,0,"Historical Minutes (206 KB PDF)","/monetarypolicy/files/fomchistmin19580721.pdf"
1958-07-22,1958-07-22,0,0,"Historical Minutes (321 KB PDF)","/monetarypolicy/files/fomchistmin19580722.pdf"
1958-07-23,1958-07-23,0,0,"Record of Policy Actions (281 KB PDF)","/monetarypolicy/files/fomcropa19580723.pdf"
1958-07-24,1958-07-24,0,0,"Record of Policy Actions (184 KB PDF)","/monetarypolicy/files/fomcropa19580724.pdf"
1958-07-25,1958-07-25,0,0,"Historical Minutes (123 KB PDF)","/monetarypolicy/files/fomchistmin19580725.pdf"
1958-07-29,1958-07-29,0,1,"Record of Policy Actions (277 KB PDF)","/monetarypolicy/files/fomcropa19580729.pdf"
1958-07-30,1958-07-30,0,0,"Historical Minutes (157 KB PDF)","/monetarypolicy/files/fomchistmin19580730.pdf"
1958-07-31,1958-07-31,0,0,"Historical Minutes (167 KB PDF)","/monetarypolicy/files/fomchistmin19580731.pdf"
1958-08-01,1958-08-01,0,0,"Historical Minutes (131 KB PDF)","/monetarypolicy/files/fomchistmin19580801.pdf"
1958-08-04,1958-08-04,0,0,"Record of Policy Actions (183 KB PDF)","/monetarypolicy/files/fomcropa19580804.pdf"
1958-08-19,1958-08-19,0,1,"Record of Policy Actions (288 KB PDF)","/monetarypolicy/files/fomcropa19580909.pdf"
1958-09-09,1958-09-09,0,1,"Record of Policy Actions (288 KB PDF)","/monetarypolicy/files/fomcropa19580909.pdf"
1958-09-30,1958-09-30,0,1,"Record of Policy Actions (188 KB PDF)","/monetarypolicy/files/fomcropa19580930.pdf"
1958-10-21,1958-10-21,0,1,"Record of Policy Actions (285 KB PDF)","/monetarypolicy/files/fomcropa19581021.pdf"
1958-11-10,1958-11-10,0,1,"Record of Policy Actions (283 KB PDF)","/monetarypolicy/files/fomcropa19581110.pdf"
1958-12-02,1958-12-02,0,1,"Record of Policy Actions (185 KB PDF)","/monetarypolicy/files/fomcropa19581202.pdf"
1958-12-16,1958-12-16,0,1,"Record of Policy Actions (351 KB PDF)","/monetarypolicy/files/fomcropa19581216.pdf"
1959-01-06,1959-01-06,0,1,"Record of Policy Actions (307 KB PDF)","/monetarypolicy/files/fomcropa19590106.pdf"
1959-01-27,1959-01-27,0,1,"Record of Policy Actions (200 KB PDF)","/monetarypolicy/files/fomcropa19590127.pdf"
1959-02-10,1959-02-10,0,1,"Record of Policy Actions (300 KB PDF)","/monetarypolicy/files/fomcropa19590210.pdf"
1959-03-03,1959-03-03,0,1,"Record of Policy Actions (301 KB PDF)","/monetarypolicy/files/fomcropa19590303.pdf"
1959-03-24,1959-03-24,0,1,"Record of Policy Actions (306 KB PDF)","/monetarypolicy/files/fomcropa19590324.pdf"
1959-04-14,1959-04-14,0,1,"Record of Policy Actions (306 KB PDF)","/monetarypolicy/files/fomcropa19590414.pdf"
1959-05-05,1959-05-05,0,1,"Record of Policy Actions (202 KB PDF)","/monetarypolicy/files/fomcropa19590505.pdf"
1959-05-26,1959-05-26,0,1,"Record of Policy Actions (316 KB PDF)","/monetarypolicy/files/fomcropa19590526.pdf"
1959-06-16,1959-06-16,0,1,"Record of Policy Actions (317 KB PDF)","/monetarypolicy/files/fomcropa19590616.pdf"
1959-07-07,1959-07-07,0,1,"Record of Policy Actions (314 KB PDF)","/monetarypolicy/files/fomcropa19590707.pdf"
1959-07-28,1959-07-28,0,1,"Record of Policy Actions (307 KB PDF)","/monetarypolicy/files/fomcropa19590728.pdf"
1959-08-18,1959-08-18,0,1,"Record of Policy Actions (219 KB PDF)","/monetarypolicy/files/fomcropa19590818.pdf"
1959-09-01,1959-09-01,0,1,"Record of Policy Actions (310 KB PDF)","/monetarypolicy/files/fomcropa19590901.pdf"
1959-09-22,1959-09-22,0,1,"Record of Policy Actions (320 KB PDF)","/monetarypolicy/files/fomcropa19590922.pdf"
1959-10-13,1959-10-13,0,1,"Record of Policy Actions (317 KB PDF)","/monetarypolicy/files/fomcropa19591013.pdf"
1959-11-04,1959-11-04,0,1,"Record of Policy Actions (305 KB PDF)","/monetarypolicy/files/fomcropa19591104.pdf"
1959-11-24,1959-11-24,0,1,"Record of Policy Actions (200 KB PDF)","/monetarypolicy/files/fomcropa19591124.pdf"
1959-12-15,1959-12-15,0,1,"Record of Policy Actions (387 KB PDF)","/monetarypolicy/files/fomcropa19591215.pdf"
1960-01-12,1960-01-12,0,1,"Record of Policy Actions (285 KB PDF)","/monetarypolicy/files/fomcropa19600112.pdf"
1960-01-26,1960-01-26,0,1,"Record of Policy Actions (194 KB PDF)","/monetarypolicy/files/fomcropa19600126.pdf"
1960-02-09,1960-02-09,0,1,"Record of Policy Actions (282 KB PDF)","/monetarypolicy/files/fomcropa19600209.pdf"
1960-03-01,1960-03-01,0,1,"Record of Policy Actions (375 KB PDF)","/monetarypolicy/files/fomcropa19600301.pdf"
1960-03-22,1960-03-22,0,1,"Record of Policy Actions (376 KB PDF)","/monetarypolicy/files/fomcropa19600322.pdf"
1960-04-12,1960-04-12,0,1,"Record of Policy Actions (378 KB PDF)","/monetarypolicy/files/fomcropa19600412.pdf"
1960-05-03,1960-05-03,0,1,"Record of Policy Actions (279 KB PDF)","/monetarypolicy/files/fomcropa19600503.pdf"
1960-05-24,1960-05-24,0,1,"Record of Policy Actions (279 KB PDF)","/monetarypolicy/files/fomcropa19600524.pdf"
1960-06-14,1960-06-14,0,1,"Record of Policy Actions (285 KB PDF)","/monetarypolicy/files/fomcropa19600614.pdf"
1960-07-06,1960-07-06,0,1,"Record of Policy Actions (272 KB PDF)","/monetarypolicy/files/fomcropa19600706.pdf"
1960-07-26,1960-07-26,0,1,"Record of Policy Actions (177 KB PDF)","/monetarypolicy/files/fomcropa19600726.pdf"
1960-08-16,1960-08-16,0,1,"Record of Policy Actions (280 KB PDF)","/monetarypolicy/files/fomcropa19600816.pdf"
1960-09-13,1960-09-13,0,1,"Record of Policy Actions (290 KB PDF)","/monetarypolicy/files/fomcropa19600913.pdf"
1960-10-04,1960-10-04,0,1,"Record of Policy Actions (280 KB PDF)","/monetarypolicy/files/fomcropa19601004.pdf"
1960-10-25,1960-10-25,0,1,"Record of Policy Actions (374 KB PDF)","/monetarypolicy/files/fomcropa19601025.pdf"
1960-11-22,1960-11-22,0,1,"Record of Policy Actions (278 KB PDF)","/monetarypolicy/files/fomcropa19601122.pdf"
1960-12-13,1960-12-13,0,1,"Record of Policy Actions (259 KB PDF)","/monetarypolicy/files/fomcropa19601213.pdf"
